f_hz,fs_hz,n_samples,gain,gain_db,phase_deg,amp_in,amp_out,skipped_lines
2.0,1000.000244,4096,0.9646518042743478,-0.3125883812213717,-13.6748088012055,1789.8218616699678,1726.5548881896066,0
5.000001,1000.000244,4096,0.8523933442356737,-1.3871990011418125,-30.560907357731594,1803.1251993167086,1536.971918721185,0
10.000006,1000.000488,4096,0.6316459629791317,-3.99052550418294,-48.95565780953251,1803.9352871814735,1139.4484416237783,0
15.000008,1000.000488,4096,0.47744875526381153,-6.421464691047431,-58.75936201170734,1803.6731338968764,861.1614926818417,0
20.000005,1000.000244,4096,0.37752913915987474,-8.460990444248267,-64.24349109395615,1803.2247686233318,680.7698946101308,0
25.000005,1000.000244,4096,0.3102501425867708,-10.165760204666295,-67.49116885570298,1803.5143001558827,559.5405687806427,0
30.000007,1000.000244,4096,0.26259373628432325,-11.614312749210939,-69.47618857209666,1803.2104596127542,473.5117718966849,0
35.000007,1000.000244,4096,0.22733987081890752,-12.866487822399673,-70.68856813998168,1802.8808150816221,409.8666916025427,0
40.000011,1000.000244,4096,0.20030595141354707,-13.966122938475422,-71.39871684320103,1802.4915715143495,361.0497891470814,0
45.000022,1000.000488,4096,0.17897218442079163,-14.944289223000101,-71.76330045588458,1802.2234497467282,322.54786761554675,0
50.000011,1000.000244,4096,0.16173012724154628,-15.824181435387866,-71.88195774714315,1802.915305208762,291.58572171714434,0
100.000022,1000.000244,4096,0.08275348390530461,-21.644274269111467,-67.49799486869263,1801.5781540169496,149.08686877259004,0
200.000152,1000.000732,4096,0.04360919311995115,-27.208438975907583,-51.992197393238655,1801.4810100015036,78.56113326708022,0
250.0,1000.0,4096,0.03624997191436692,-28.813846511481923,-43.53115326796964,1807.7353519236094,65.53035573583904,0
